AREA,VARIABLE_NAME,RANGE,EC
2400,External_wall,Emulsion,13152.9304397837
2400,Internal_wall,Enamel,3661.40374495623
2400,Ceiling,Non_asbestos,210922.81544061
2400,Form_system,Ganged,93743.47352916
2400,Floor,Laminates,281230.42058748
2400,No_of_parking_spaces,2,34248615
2400,No_of_floors,4,17124307
2400,Escalation,10,6849723
2400,Changes_range,9,6164675
2400,Earthwork,1,16800000
2400,Duration_of_the_project,1000,68497230
2800,Foundation_system,Wall,815568.219703692
2800,Substructure,RCC,543712.146469128
2800,Superstructure,RCC,543712.146469128
2800,External_wall,Oil,15257.3993101491
2800,Internal_wall,Acrylic,4247.22834414923
2800,Ceiling,Gypsum_Board,244670.465911108
2800,Form_system,Ganged,108742.429293826
2800,Floor,Vinyl,326227.287881477
2800,No_of_parking_spaces,1,3835844
2800,No_of_floors,5,4603013
2800,Escalation,10,11507534
2800,Changes_range,9,1035678
2800,Earthwork,1,19600000
2800,Duration_of_the_project,1200,115075344
3000,Foundation_system,Mat,872657.99508295
3000,Substructure,RCC,581771.996721967
3000,Superstructure,RCC,581771.996721967
3000,External_wall,Emulsion,16325.4172618595
3000,Internal_wall,Enamel,4544.53432823968
3000,Ceiling,Non_asbestos,261797.398524886
3000,Form_system,Ganged,116354.399344394
3000,Floor,Laminates,349063.19803318
3000,No_of_parking_spaces,2,62332475
3000,No_of_floors,3,41554982
3000,Escalation,10,12466495
3000,Changes_range,9,1121984
3000,Earthwork,1,21000000
3000,Duration_of_the_project,1350,124664950
3300,Foundation_system,Mat,959923.794591245
3300,Substructure,RCC,639949.196394164
3300,Superstructure,RCC,639949.196394164
3300,External_wall,Emulsion,17957.9589880455
3300,Internal_wall,Enamel,4998.98776106365
3300,Ceiling,Non_asbestos,287977.138377375
3300,Form_system,Ganged,127989.839278833
3300,Floor,Laminates,383969.517836498
3300,No_of_parking_spaces,2,54852580
3300,No_of_floors,4,109705160
3300,Escalation,9,16455774
3300,Changes_range,8,14810196
3300,Earthwork,1,23100000
3300,Duration_of_the_project,1300,164557740
3500,Foundation_system,Pile,1017519
3500,Substructure,RCC,678346.148177814
3500,Superstructure,RCC,678346.148177814
3500,External_wall,Enamel,19035.4365273282
3500,Internal_wall,Emulsion,5298.92702672747
3500,Ceiling,Non_asbestos,305255.766680018
3500,Form_system,Conventional,135669.229635563
3500,Floor,Marble,407007.688906688
3500,No_of_parking_spaces,1,29071868
3500,No_of_floors,5,145359340
3500,Escalation,10,17443120
3500,Changes_range,9,15698808
3500,Earthwork,1,2400000
3500,Duration_of_the_project,1300,174431208
3600,Foundation_system,Mat,1037869.38
3600,Substructure,RCC,691913.07114137
3600,Superstructure,RCC,691913.07114137
3600,External_wall,Emulsion,19416.1452578748
3600,Internal_wall,Enamel,5404.90556726202
3600,Ceiling,Non_asbestos,311360.882013618
3600,Form_system,Ganged,138382.614228274
3600,Floor,Laminates,415147.842684822
3600,No_of_parking_spaces,2,59306610
3600,No_of_floors,3,88959915
3600,Escalation,10,14826652
3600,Changes_range,8,13343987
3600,Earthwork,1,25200000
3600,Duration_of_the_project,1400,148266525
4000,Foundation_system,Wall,1152035.0118
4000,Substructure,RCC,768023.508966921
4000,Superstructure,RCC,768023.508966921
4000,External_wall,Oil,21551.921236241
4000,Internal_wall,Acrylic,5999.44517966084
4000,Ceiling,Gypsum_Board,345610.579035116
4000,Form_system,Ganged,153604.701793384
4000,Floor,Vinyl,460814.105380152
4000,No_of_parking_spaces,2,32915169
4000,No_of_floors,6,43886892
4000,Escalation,10,26332135
4000,Changes_range,9,23698921
4000,Earthwork,1,28000000
4000,Duration_of_the_project,1600,263321352
4200,Foundation_system,Pile,1209636.76239
4200,Substructure,RCC,806424.684415267
4200,Superstructure,RCC,806424.684415267
4200,External_wall,Enamel,22629.5172980531
4200,Internal_wall,Emulsion,6299.41743864388
4200,Ceiling,Non_asbestos,362891.107986872
4200,Form_system,Conventional,161284.936883053
4200,Floor,Marble,483854.81064916
4200,No_of_parking_spaces,1,28800772
4200,No_of_floors,4,43201158
4200,Escalation,10,1555241
4200,Changes_range,9,15552417
4200,Earthwork,1,29400000
4200,Duration_of_the_project,1600,172804635
4500,Foundation_system,Wall,1294311.3357573
4500,Substructure,RCC,862874.412324336
4500,Superstructure,RCC,862874.412324336
4500,External_wall,Oil,24213.5835089168
4500,Internal_wall,Acrylic,6740.37665934895
4500,Ceiling,Gypsum_Board,388293.485545953
4500,Form_system,Ganged,172574.882464867
4500,Floor,Vinyl,517724.647394601
4500,No_of_parking_spaces,2,3521923
4500,No_of_floors,6,24653461
4500,Escalation,10,29584153
4500,Changes_range,8,26625738
4500,Earthwork,1,31500000
4500,Duration_of_the_project,1690,295841536
4600,Foundation_system,Mat,1320197.56247245
4600,Substructure,RCC,880131.900570823
4600,Superstructure,RCC,880131.900570823
4600,External_wall,Emulsion,24697.8551790951
4600,Internal_wall,Enamel,6875.18419253593
4600,Ceiling,Non_asbestos,396059.355256872
4600,Form_system,Ganged,176026.380114164
4600,Floor,Laminates,528079.140342493
4600,No_of_parking_spaces,2,6286632
4600,No_of_floors,5,52807713
4600,Escalation,10,26403856
4600,Changes_range,9,23763470
4600,Earthwork,1,32200000
4600,Duration_of_the_project,1800,264038565
4800,Foundation_system,Pile,1373005.46497135
4800,Substructure,RCC,915337.176593656
4800,Superstructure,RCC,915337.176593656
4800,External_wall,Enamel,25685.7693862589
4800,Internal_wall,Emulsion,7150.19156023737
4800,Ceiling,Non_asbestos,411901.729467147
4800,Form_system,Conventional,183067.435318731
4800,Floor,Marble,549202.305956193
4800,No_of_parking_spaces,1,19614293
4800,No_of_floors,3,52304978
4800,Escalation,10,15691434
4800,Changes_range,10,15691434
4800,Earthwork,1,33600000
4800,Duration_of_the_project,1700,156914348
4900,Foundation_system,Wall,1400465.57427078
4900,Substructure,RCC,933643.920125529
4900,Superstructure,RCC,933643.920125529
4900,External_wall,Oil,26199.4847739841
4900,Internal_wall,Acrylic,7293.19539144212
4900,Ceiling,Gypsum_Board,420139.76405649
4900,Form_system,Ganged,186728.784025106
4900,Floor,Vinyl,560186.352075317
4900,No_of_parking_spaces,2,48015790
4900,No_of_floors,4,60019738
4900,Escalation,10,24007895
4900,Changes_range,9,2160710
4900,Earthwork,1,1690000
4900,Duration_of_the_project,1850,240078954
5000,Foundation_system,Pile,1428474.8857562
5000,Substructure,RCC,952316.79852804
5000,Superstructure,RCC,952316.79852804
5000,External_wall,Enamel,26723.4744694638
5000,Internal_wall,Emulsion,7439.05929927096
5000,Ceiling,Non_asbestos,428542.55933762
5000,Form_system,Conventional,190463.359705608
5000,Floor,Marble,571390.079116823
5000,No_of_parking_spaces,1,40813422
5000,No_of_floors,4,51016777
5000,Escalation,10,20403711
5000,Changes_range,9,18366039
5000,Earthwork,1,35000000
5000,Duration_of_the_project,1900,204067110
5100,Foundation_system,Mat,1457044.38347132
5100,Substructure,RCC,971363.134498601
5100,Superstructure,RCC,971363.134498601
5100,External_wall,Emulsion,27257.9439588531
5100,Internal_wall,Enamel,7587.84048525638
5100,Ceiling,Non_asbestos,437113.410524372
5100,Form_system,Ganged,194272.62689972
5100,Floor,Laminates,582817.880699159
5100,No_of_parking_spaces,2,13876563
5100,No_of_floors,3,69382818
5100,Escalation,10,20814845
5100,Changes_range,9,18733360
5100,Earthwork,1,35700000
5100,Duration_of_the_project,1900,208148455
5500,Foundation_system,Wall,1500755.71497546
5500,Substructure,RCC,1000504.02853356
5500,Superstructure,RCC,1000504.02853356
5500,External_wall,Oil,28075.6822776187
5500,Internal_wall,Acrylic,7815.47569981407
5500,Ceiling,Gypsum_Board,450226.812840103
5500,Form_system,Ganged,200100.805706712
5500,Floor,Vinyl,600302.417120134
5500,No_of_parking_spaces,2,44543769
5500,No_of_floors,5,62361276
5500,Escalation,10,31180638
5500,Changes_range,9,28062574
5500,Earthwork,1,38500000
5500,Duration_of_the_project,2100,311806383
6000,Foundation_system,Mat,1635823.72932325
6000,Substructure,RCC,1090549.39110158
6000,Superstructure,RCC,1090549.39110158
6000,External_wall,Emulsion,30602.4936826044
6000,Internal_wall,Enamel,8518.86851279734
6000,Ceiling,Non_asbestos,490747.225995712
6000,Form_system,Ganged,218109.878220316
6000,Floor,Laminates,654329.634660946
6000,No_of_parking_spaces,2,48552708.21
6000,No_of_floors,6,67973790.84
6000,Escalation,12,33986895.42
6000,Changes_range,10,30588205.66
6000,Earthwork,1,41965000
6000,Duration_of_the_project,2800,339868957.47
6500,,Pile,1766689.62766911
6500,Substructure,RCC,1177793.34238971
6500,Superstructure,RCC,1177793.34238971
6500,External_wall,Enamel,33050.6931772128
6500,Internal_wall,Emulsion,9200.37799382113
6500,Ceiling,Non_asbestos,530007.004075369
6500,Form_system,Conventional,235558.668477941
6500,Floor,Marble,706676.005433822
6500,No_of_parking_spaces,2,52436924.8668
6500,No_of_floors,5,73411694.1072
6500,Escalation,10,36705847.0536
6500,Changes_range,9,33035262.1128
6500,Earthwork,1,45322200
6500,Duration_of_the_project,3000,367058474.0676
7000,Foundation_system,Mat,1890357.90160595
7000,Substructure,RCC,1260238.87635699
7000,Superstructure,RCC,1260238.87635699
7000,External_wall,Emulsion,35364.2416996177
7000,Internal_wall,Enamel,9844.40445338861
7000,Ceiling,Non_asbestos,567107.494360645
7000,Form_system,Ganged,252047.775271397
7000,Floor,Laminates,756143.32581419
7000,No_of_parking_spaces,1,56107509.607476
7000,No_of_floors,6,78550512.694704
7000,Escalation,15,39275256.347352
7000,Changes_range,12,35347730.460696
7000,Earthwork,1,48494754
7000,Duration_of_the_project,3500,392752567.252332
7150,Foundation_system,Wall,1928165.05963807
7150,Substructure,RCC,1285443.65388413
7150,Superstructure,RCC,1285443.65388413
7150,External_wall,Oil,36071.5265336101
7150,Internal_wall,Acrylic,10041.2925424564
7150,Ceiling,Gypsum_Board,578449.644247858
7150,Form_system,Ganged,257088.730776825
7150,Floor,Vinyl,771266.192330474
7150,No_of_parking_spaces,1,57229659.7996255
7150,No_of_floors,6,80121522.9485981
7150,Escalation,15,40060761.474299
7150,Changes_range,12,36054685.0699099
7150,Earthwork,1,49464649.08
7150,Duration_of_the_project,3050,400607618.597379
7500,No_of_parking_spaces,1,59518846.1916105
7500,Foundation_system,Pile,2005291.66202359
7500,Substructure,RCC,1336861.4000395
7500,Superstructure,RCC,1336861.4000395
7500,External_wall,Enamel,37514.3875949545
7500,Internal_wall,Emulsion,10442.9442441547
7500,Ceiling,Non_asbestos,601587.630017772
7500,Form_system,Conventional,267372.280007898
7500,Floor,Marble,802116.840023693
7500,No_of_parking_spaces,1,59518846.1916105
7500,No_of_floors,4,83326383.866542
7500,Escalation,10,41663191.933271
7500,Changes_range,12,37496872.4727063
7500,Earthwork,1,51443235.0432
7500,Duration_of_the_project,2200,416631923.341274
8000,Foundation_system,Mat,2125609.16174501
8000,Substructure,RCC,1417073.08404187
8000,Superstructure,RCC,1417073.08404187
8000,External_wall,Emulsion,39765.2508506518
8000,Internal_wall,Enamel,11069.520898804
8000,Ceiling,Non_asbestos,637682.887818838
8000,Form_system,Ganged,283414.616808372
8000,Floor,Laminates,850243.850425115
8000,No_of_parking_spaces,2,63089976.9631071
8000,No_of_floors,3,88325966.8985345
8000,Escalation,10,44162983.4492673
8000,Changes_range,9,39746684.8210687
8000,Earthwork,1,54529829.145792
8000,Duration_of_the_project,2300,441629838.74175
8500,Foundation_system,Wall,2253145.71144971
8500,Substructure,RCC,1502097.46908438
8500,Superstructure,RCC,1502097.46908438
8500,External_wall,Oil,42151.1659016909
8500,Internal_wall,Acrylic,11733.6921527322
8500,Ceiling,Gypsum_Board,675943.861087968
8500,Form_system,Ganged,300419.493816874
8500,Floor,Vinyl,901258.481450622
8500,No_of_parking_spaces,3,66875375.5808935
8500,No_of_floors,5,93625524.9124466
8500,Escalation,10,46812762.4562233
8500,Changes_range,9,42131485.9103328
8500,Earthwork,1,57801618.8945395
8500,Duration_of_the_project,2900,468127629.066255
8700,Foundation_system,Mat,2298208.6256787
8700,Substructure,RCC,1532139.41846607
8700,Superstructure,RCC,1532139.41846607
8700,External_wall,Emulsion,42994.1892197247
8700,Internal_wall,Enamel,11968.3659957868
8700,Ceiling,Non_asbestos,689462.738309727
8700,Form_system,Ganged,306427.883693211
8700,Floor,Laminates,919283.651079634
8700,No_of_parking_spaces,2,68212883.0925114
8700,No_of_floors,6,95498035.4106955
8700,Escalation,10,47749017.7053478
8700,Changes_range,8,42974115.6285395
8700,Earthwork,1,58957651.2724303
8700,Duration_of_the_project,2400,477490181.64758
9000,Foundation_system,Pile,2367154.88444906
9000,Substructure,RCC,1578103.60102005
9000,Superstructure,RCC,1578103.60102005
9000,External_wall,Enamel,44284.0148963164
9000,Internal_wall,Emulsion,12327.4169756604
9000,Ceiling,Non_asbestos,710146.620459019
9000,Form_system,Conventional,315620.720204007
9000,Floor,Marble,946862.160612023
9000,No_of_parking_spaces,2,70259269.5852867
9000,No_of_floors,5,98362976.4730164
9000,Escalation,10,49181488.2365082
9000,Changes_range,8,44263339.0973957
9000,Earthwork,1,60726380.8106032
9000,Duration_of_the_project,2600,491814887.097007
9600,Foundation_system,Wall,2509184.177516
9600,Substructure,RCC,1672789.81708125
9600,Superstructure,RCC,1672789.81708125
9600,External_wall,Oil,46941.0557900954
9600,Internal_wall,Acrylic,13067.0619942
9600,Ceiling,Gypsum_Board,752755.41768656
9600,Form_system,Ganged,334557.963416247
9600,Floor,Vinyl,1003673.89024874
9600,No_of_parking_spaces,1,74474825.7604039
9600,No_of_floors,6,104264755.061397
9600,Escalation,10,52132377.5306987
9600,Changes_range,8,46919139.4432394
9600,Earthwork,1,64369963.6592394
9600,Duration_of_the_project,2600,521323780.322827
9800,Foundation_system,Mat,2559367.86106632
9800,Substructure,RCC,1706245.61342288
9800,Superstructure,RCC,1706245.61342288
9800,External_wall,Emulsion,47879.8769058973
9800,Internal_wall,Enamel,13328.403234084
9800,Ceiling,Non_asbestos,767810.526040291
9800,Form_system,Ganged,341249.122684572
9800,Floor,Laminates,1023747.36805371
9800,No_of_parking_spaces,2,75964322.275612
9800,No_of_floors,4,106350050.162625
9800,Escalation,10,53175025.0813127
9800,Changes_range,8,47857522.2321042
9800,Earthwork,1,65657362.9324242
9800,Duration_of_the_project,2900,531750255.929284
11000,Foundation_system,Pile,2866492.00439428
11000,Substructure,RCC,1910995.08703363
11000,Superstructure,RCC,1910995.08703363
11000,External_wall,Enamel,53625.462134605
11000,Internal_wall,Emulsion,14927.8116221741
11000,Ceiling,Non_asbestos,859947.789165126
11000,Form_system,Conventional,382199.017406721
11000,Floor,Marble,1146597.05222016
11000,No_of_parking_spaces,1,85080040.9486854
11000,No_of_floors,3,119112056.18214
11000,Escalation,10,59556028.0910702
11000,Changes_range,8,53600424.8999567
11000,Earthwork,1,73536246.4843151
11000,Duration_of_the_project,2800,595560286.640798
11300,Foundation_system,Mat,2866492.00439428
11300,Substructure,RCC,1910995.08703363
11300,Superstructure,RCC,1910995.08703363
11300,External_wall,Emulsion,53625.462134605
11300,Internal_wall,Enamel,14927.8116221741
11300,Ceiling,Non_asbestos,859947.789165126
11300,Form_system,Ganged,382199.017406721
11300,Floor,Laminates,1146597.05222016
11300,No_of_parking_spaces,2,85080040.9486854
11300,No_of_floors,5,119112056.18214
11300,Escalation,10,59556028.0910702
11300,Changes_range,8,53600424.8999567
11300,Earthwork,1,73536246.4843151
11300,Duration_of_the_project,2500,595560286.640798
11700,Foundation_system,Wall,2895156.92443822
11700,Substructure,RCC,1930105.03790397
11700,Superstructure,RCC,1930105.03790397
11700,External_wall,Oil,54161.7167559511
11700,Internal_wall,Acrylic,15077.0897383958
11700,Ceiling,Gypsum_Board,868547.267056777
11700,Form_system,Ganged,386021.007580788
11700,Floor,Vinyl,1158063.02274236
11700,No_of_parking_spaces,1,85930841.3581723
11700,No_of_floors,4,120303176.743961
11700,Escalation,10,60151588.3719809
11700,Changes_range,8,54136429.1489563
11700,Earthwork,1,74271608.9491583
11700,Duration_of_the_project,3000,601515889.507206
12000,Foundation_system,Pile,2982011.63217137
12000,Substructure,RCC,1988008.18904109
12000,Superstructure,RCC,1988008.18904109
12000,External_wall,Enamel,55786.5682586296
12000,Internal_wall,Emulsion,15529.4024305477
12000,Ceiling,Non_asbestos,894603.68506848
12000,Form_system,Conventional,397601.637808212
12000,Floor,Marble,1192804.91342463
12000,No_of_parking_spaces,1,88508766.5989175
12000,No_of_floors,5,123912272.04628
12000,Escalation,10,61956136.0231403
12000,Changes_range,8,55760522.023425
12000,Earthwork,1,76499757.2176331
12000,Duration_of_the_project,2750,619561366.192422
12300,Foundation_system,Wall,3041651.8648148
12300,Substructure,RCC,2027768.35282191
12300,Superstructure,RCC,2027768.35282191
12300,External_wall,Oil,56902.2996238022
12300,Internal_wall,Acrylic,15839.9904791587
12300,Ceiling,Gypsum_Board,912495.75876985
12300,Form_system,Ganged,405553.670564376
12300,Floor,Vinyl,1216661.01169312
12300,No_of_parking_spaces,2,90278941.9308959
12300,No_of_floors,6,126390517.487206
12300,Escalation,10,63195258.7436031
12300,Changes_range,8,56875732.4638935
12300,Earthwork,1,78029752.3619858
12300,Duration_of_the_project,2250,631952593.51627
12700,Foundation_system,Mat,3102484.9021111
12700,Substructure,RCC,2068323.71987835
12700,Superstructure,RCC,2068323.71987835
12700,External_wall,Emulsion,58040.3456162782
12700,Internal_wall,Enamel,16156.7902887419
12700,Ceiling,Non_asbestos,930745.673945247
12700,Form_system,Ganged,413664.743975664
12700,Floor,Laminates,1240994.23192698
12700,No_of_parking_spaces,1,92084520.7695138
12700,No_of_floors,5,128918327.83695
12700,Escalation,10,64459163.9184752
12700,Changes_range,8,58013247.1131714
12700,Earthwork,1,79590347.4092255
12700,Duration_of_the_project,2500,644591645.386595
13000,Foundation_system,Wall,3164534.60015332
13000,Substructure,RCC,2109690.19427592
13000,Superstructure,RCC,2109690.19427592
13000,External_wall,Oil,59201.1525286038
13000,Internal_wall,Acrylic,16479.9260945167
13000,Ceiling,Gypsum_Board,949360.587424152
13000,Form_system,Ganged,421938.038855177
13000,Floor,Vinyl,1265814.11656552
13000,No_of_parking_spaces,2,94847056.3925992
13000,No_of_floors,5,132785877.672059
13000,Escalation,10,66392938.8360295
13000,Changes_range,8,59753644.5265665
13000,Earthwork,1,81978057.8315023
13000,Duration_of_the_project,3000,663929394.748193
13300,Foundation_system,Mat,3227825.29215639
13300,Substructure,RCC,2151883.99816144
13300,Superstructure,RCC,2151883.99816144
13300,External_wall,Emulsion,60385.1755791759
13300,Internal_wall,Enamel,16809.524616407
13300,Ceiling,Non_asbestos,968347.799172635
13300,Form_system,Ganged,430376.799632281
13300,Floor,Laminates,1291130.39889683
13300,No_of_parking_spaces,2,96743997.5204512
13300,No_of_floors,5,135441595.2255
13300,Escalation,10,67720797.6127501
13300,Changes_range,8,60948717.4170978
13300,Earthwork,1,83617618.9881323
13300,Duration_of_the_project,3200,677207982.643157
13500,Foundation_system,Mat,3292381.79799952
13500,Substructure,RCC,2194921.67812467
13500,Superstructure,RCC,2194921.67812467
13500,External_wall,Emulsion,61592.8790907594
13500,Internal_wall,Enamel,17145.7151087351
13500,Ceiling,Non_asbestos,987714.755156088
13500,Form_system,Ganged,438984.335624927
13500,Floor,Laminates,1316953.00687477
13500,No_of_parking_spaces,2,98678877.4708602
13500,No_of_floors,4,138150427.13001
13500,Escalation,10,69075213.5650051
13500,Changes_range,8,62167691.7654398
13500,Earthwork,1,85289971.3678949
13500,Duration_of_the_project,3500,690752142.29602
13700,Foundation_system,Pile,3325305.61597952
13700,Substructure,RCC,2216870.89490592
13700,Superstructure,RCC,2216870.89490592
13700,External_wall,Enamel,62208.807881667
13700,Internal_wall,Emulsion,17317.1722598225
13700,Ceiling,Non_asbestos,997591.902707649
13700,Form_system,Conventional,443374.178981176
13700,Floor,Marble,1330122.53694352
13700,No_of_parking_spaces,1,99665666.2455688
13700,No_of_floors,6,139531931.40131
13700,Escalation,10,69765965.7006552
13700,Changes_range,8,62789368.6830942
13700,Earthwork,1,86142871.0815738
13700,Duration_of_the_project,3000,697659663.71898
14000,Foundation_system,Wall,3358558.67213932
14000,Substructure,RCC,2239039.60385498
14000,Superstructure,RCC,2239039.60385498
14000,External_wall,Oil,62830.8959604837
14000,Internal_wall,Acrylic,17490.3439824207
14000,Ceiling,Gypsum_Board,1007567.82173473
14000,Form_system,Ganged,447807.920770988
14000,Floor,Vinyl,1343423.76231296
14000,No_of_parking_spaces,1,100662322.908024
14000,No_of_floors,4,140927250.715323
14000,Escalation,10,70463625.3576618
14000,Changes_range,8,63417262.3699251
14000,Earthwork,1,87004299.7923895
14000,Duration_of_the_project,3000,704636260.35617
14300,Foundation_system,Mat,3425729.84558211
14300,Substructure,RCC,2283820.39593208
14300,Superstructure,RCC,2283820.39593208
14300,External_wall,Emulsion,64087.5138796934
14300,Internal_wall,Enamel,17840.1508620691
14300,Ceiling,Non_asbestos,1027719.17816942
14300,Form_system,Ganged,456764.079186408
14300,Floor,Laminates,1370292.23755922
14300,No_of_parking_spaces,2,102675569.366184
14300,No_of_floors,5,143745795.729629
14300,Escalation,10,71872897.864815
14300,Changes_range,8,64685607.6173236
14300,Earthwork,1,88744385.7882373
14300,Duration_of_the_project,3500,718728985.563293
14500,Foundation_system,Mat,3494244.44249375
14500,Substructure,RCC,2329496.80385072
14500,Superstructure,RCC,2329496.80385072
14500,External_wall,Emulsion,65369.2641572873
14500,Internal_wall,Enamel,18196.9538793105
14500,Ceiling,Non_asbestos,1048273.56173281
14500,Form_system,Ganged,465899.360770136
14500,Floor,Laminates,1397698.0823104
14500,No_of_parking_spaces,2,104729080.753508
14500,No_of_floors,4,146620711.644222
14500,Escalation,10,73310355.8221113
14500,Changes_range,8,65979319.7696701
14500,Earthwork,1,90519273.504002
14500,Duration_of_the_project,3000,733103565.274559
14700,Foundation_system,Wall,3529186.88691869
14700,Substructure,RCC,2352791.77188923
14700,Superstructure,RCC,2352791.77188923
14700,External_wall,Oil,66022.9567988602
14700,Internal_wall,Acrylic,18378.9234181036
14700,Ceiling,Gypsum_Board,1058756.29735014
14700,Form_system,Ganged,470558.354377837
14700,Floor,Vinyl,1411675.0631335
14700,No_of_parking_spaces,1,105776371.561043
14700,No_of_floors,2,148086918.760664
14700,Escalation,10,74043459.3803324
14700,Changes_range,8,66639112.9673668
14700,Earthwork,1,91424466.239042
14700,Duration_of_the_project,3250,740434600.927305
15000,Foundation_system,Mat,3564478.75578788
15000,Substructure,RCC,2376319.68960812
15000,Superstructure,RCC,2376319.68960812
15000,External_wall,Emulsion,66683.1863668488
15000,Internal_wall,Enamel,2031
15000,Ceiling,Non_asbestos,117000
15000,Form_system,Ganged,52000
15000,Floor,Laminates,156000
15000,No_of_parking_spaces,2,106834135.276653
15000,No_of_floors,3,149567787.948271
15000,Escalation,10,74783893.9741357
15000,Changes_range,8,67305504.0970405
15000,Earthwork,1,92338710.9014324
15000,Duration_of_the_project,3500,747838946.936578
15300,Foundation_system,Pile,3635768.33090364
15300,Substructure,RCC,2423846.08340028
15300,Superstructure,RCC,2423846.08340028
15300,External_wall,Enamel,68016.8500941858
15300,Internal_wall,Emulsion,2071.62
15300,Ceiling,Non_asbestos,119340
15300,Form_system,Conventional,53040
15300,Floor,Marble,159120
15300,No_of_parking_spaces,1,108970817.982186
15300,No_of_floors,2,152559143.707236
15300,Escalation,10,76279571.8536184
15300,Changes_range,8,68651614.1789813
15300,Earthwork,1,94185485.119461
15300,Duration_of_the_project,3500,762795725.87531
15500,Foundation_system,Wall,3708483.69752171
15500,Substructure,RCC,2472323.00506829
15500,Superstructure,RCC,2472323.00506829
15500,External_wall,Oil,69377.1870960695
15500,Internal_wall,Acrylic,2113.0524
15500,Ceiling,Gypsum_Board,121726.8
15500,Form_system,Ganged,54100.8
15500,Floor,Vinyl,162302.4
15500,No_of_parking_spaces,1,111150234.34183
15500,No_of_floors,3,155610326.581381
15500,Escalation,10,77805163.2906908
15500,Changes_range,8,70024646.4625609
15500,Earthwork,1,96069194.8218502
