AREA,VARIABLE_NAME,RANGE,EC
5500,Changes_range,9,28062574
5500,Earthwork,1,38500000
5500,Duration_of_the_project,2100,311806383
6000,No_of_parking_spaces,2,48552708.21
6000,No_of_floors,6,67973790.84
6000,Escalation,12,33986895.42
6000,Changes_range,10,30588205.66
6000,Earthwork,1,41965000
6000,Duration_of_the_project,2800,339868957.47
6500,No_of_parking_spaces,2,52436924.8668
6500,No_of_floors,5,73411694.1072
6500,Escalation,10,36705847.0536
6500,Changes_range,9,33035262.1128
6500,Earthwork,1,45322200
6500,Duration_of_the_project,3000,367058474.0676
7000,No_of_parking_spaces,1,56107509.607476
7000,No_of_floors,6,78550512.694704
7000,Escalation,15,39275256.347352
7000,Changes_range,12,35347730.460696
7000,Earthwork,1,48494754
7000,Duration_of_the_project,3500,392752567.252332
7150,No_of_parking_spaces,1,57229659.7996255
7150,No_of_floors,6,80121522.9485981
7150,Escalation,15,40060761.474299
7150,Changes_range,12,36054685.0699099
7150,Earthwork,1,49464649.08
7150,Duration_of_the_project,3050,400607618.597379
7500,No_of_parking_spaces,1,59518846.1916105
7500,No_of_floors,4,83326383.866542
7500,Escalation,10,41663191.933271
7500,Changes_range,12,37496872.4727063
7500,Earthwork,1,51443235.0432
7500,Duration_of_the_project,2200,416631923.341274
8000,No_of_parking_spaces,2,63089976.9631071
8000,No_of_floors,3,88325966.8985345
8000,Escalation,10,44162983.4492673
8000,Changes_range,9,39746684.8210687
8000,Earthwork,1,54529829.145792
8000,Duration_of_the_project,2300,441629838.74175
8500,No_of_parking_spaces,3,66875375.5808935
8500,No_of_floors,5,93625524.9124466
8500,Escalation,10,46812762.4562233
8500,Changes_range,9,42131485.9103328
8500,Earthwork,1,57801618.8945395
8500,Duration_of_the_project,2900,468127629.066255
8700,No_of_parking_spaces,2,68212883.0925114
8700,No_of_floors,6,95498035.4106955
8700,Escalation,10,47749017.7053478
8700,Changes_range,8,42974115.6285395
8700,Earthwork,1,58957651.2724303
8700,Duration_of_the_project,2400,477490181.64758
9000,No_of_parking_spaces,2,70259269.5852867
9000,No_of_floors,5,98362976.4730164
9000,Escalation,10,49181488.2365082
9000,Changes_range,8,44263339.0973957
9000,Earthwork,1,60726380.8106032
9000,Duration_of_the_project,2600,491814887.097007
9600,No_of_parking_spaces,1,74474825.7604039
9600,No_of_floors,6,104264755.061397
9600,Escalation,10,52132377.5306987
9600,Changes_range,8,46919139.4432394
9600,Earthwork,1,64369963.6592394
9600,Duration_of_the_project,2600,521323780.322827
9800,No_of_parking_spaces,2,75964322.275612
9800,No_of_floors,4,106350050.162625
9800,Escalation,10,53175025.0813127
9800,Changes_range,8,47857522.2321042
9800,Earthwork,1,65657362.9324242
9800,Duration_of_the_project,2900,531750255.929284
11000,No_of_parking_spaces,1,85080040.9486854
11000,No_of_floors,3,119112056.18214
11000,Escalation,10,59556028.0910702
11000,Changes_range,8,53600424.8999567
11000,Earthwork,1,73536246.4843151
11000,Duration_of_the_project,2800,595560286.640798
11300,No_of_parking_spaces,2,85080040.9486854
11300,No_of_floors,5,119112056.18214
11300,Escalation,10,59556028.0910702
11300,Changes_range,8,53600424.8999567
11300,Earthwork,1,73536246.4843151
11300,Duration_of_the_project,2500,595560286.640798
11700,No_of_parking_spaces,1,85930841.3581723
11700,No_of_floors,4,120303176.743961
11700,Escalation,10,60151588.3719809
11700,Changes_range,8,54136429.1489563
11700,Earthwork,1,74271608.9491583
11700,Duration_of_the_project,3000,601515889.507206
12000,No_of_parking_spaces,1,88508766.5989175
12000,No_of_floors,5,123912272.04628
12000,Escalation,10,61956136.0231403
12000,Changes_range,8,55760522.023425
12000,Earthwork,1,76499757.2176331
12000,Duration_of_the_project,2750,619561366.192422
12300,No_of_parking_spaces,2,90278941.9308959
12300,No_of_floors,6,126390517.487206
12300,Escalation,10,63195258.7436031
12300,Changes_range,8,56875732.4638935
12300,Earthwork,1,78029752.3619858
12300,Duration_of_the_project,2250,631952593.51627
12700,No_of_parking_spaces,1,92084520.7695138
12700,No_of_floors,5,128918327.83695
12700,Escalation,10,64459163.9184752
12700,Changes_range,8,58013247.1131714
12700,Earthwork,1,79590347.4092255
12700,Duration_of_the_project,2500,644591645.386595
13000,No_of_parking_spaces,2,94847056.3925992
13000,No_of_floors,5,132785877.672059
13000,Escalation,10,66392938.8360295
13000,Changes_range,8,59753644.5265665
13000,Earthwork,1,81978057.8315023
13000,Duration_of_the_project,3000,663929394.748193
13300,No_of_parking_spaces,2,96743997.5204512
13300,No_of_floors,5,135441595.2255
13300,Escalation,10,67720797.6127501
13300,Changes_range,8,60948717.4170978
13300,Earthwork,1,83617618.9881323
13300,Duration_of_the_project,3200,677207982.643157
13500,No_of_parking_spaces,2,98678877.4708602
13500,No_of_floors,4,138150427.13001
13500,Escalation,10,69075213.5650051
13500,Changes_range,8,62167691.7654398
13500,Earthwork,1,85289971.3678949
13500,Duration_of_the_project,3500,690752142.29602
13700,No_of_parking_spaces,1,99665666.2455688
13700,No_of_floors,6,139531931.40131
13700,Escalation,10,69765965.7006552
13700,Changes_range,8,62789368.6830942
13700,Earthwork,1,86142871.0815738
13700,Duration_of_the_project,3000,697659663.71898
14000,No_of_parking_spaces,1,100662322.908024
14000,No_of_floors,4,140927250.715323
14000,Escalation,10,70463625.3576618
14000,Changes_range,8,63417262.3699251
14000,Earthwork,1,87004299.7923895
14000,Duration_of_the_project,3000,704636260.35617
14300,No_of_parking_spaces,2,102675569.366184
14300,No_of_floors,5,143745795.729629
14300,Escalation,10,71872897.864815
14300,Changes_range,8,64685607.6173236
14300,Earthwork,1,88744385.7882373
14300,Duration_of_the_project,3500,718728985.563293
14500,No_of_parking_spaces,2,104729080.753508
14500,No_of_floors,4,146620711.644222
14500,Escalation,10,73310355.8221113
14500,Changes_range,8,65979319.7696701
14500,Earthwork,1,90519273.504002
14500,Duration_of_the_project,3000,733103565.274559
14700,No_of_parking_spaces,1,105776371.561043
14700,No_of_floors,2,148086918.760664
14700,Escalation,10,74043459.3803324
14700,Changes_range,8,66639112.9673668
14700,Earthwork,1,91424466.239042
14700,Duration_of_the_project,3250,740434600.927305
15000,No_of_parking_spaces,2,106834135.276653
15000,No_of_floors,3,149567787.948271
15000,Escalation,10,74783893.9741357
15000,Changes_range,8,67305504.0970405
15000,Earthwork,1,92338710.9014324
15000,Duration_of_the_project,3500,747838946.936578
15300,No_of_parking_spaces,1,108970817.982186
15300,No_of_floors,2,152559143.707236
15300,Escalation,10,76279571.8536184
15300,Changes_range,8,68651614.1789813
15300,Earthwork,1,94185485.119461
15300,Duration_of_the_project,3500,762795725.87531
15500,No_of_parking_spaces,1,111150234.34183
15500,No_of_floors,3,155610326.581381
15500,Escalation,10,77805163.2906908
15500,Changes_range,8,70024646.4625609
15500,Earthwork,1,96069194.8218502
15500,Duration_of_the_project,3700,778051640.392816
15800,No_of_parking_spaces,2,112261736.685248
15800,No_of_floors,3,157166429.847195
15800,Escalation,10,78583214.9235977
15800,Changes_range,8,70724892.9271865
15800,Earthwork,1,97029886.7700687
15800,Duration_of_the_project,3800,785832156.796744
16000,No_of_parking_spaces,1,113384354.0521
16000,No_of_floors,5,158738094.145667
16000,Escalation,10,79369047.0728337
16000,Changes_range,8,71432141.8564584
16000,Earthwork,1,98000185.6377694
16000,Duration_of_the_project,3800,793690478.364711
16400,No_of_parking_spaces,2,114518197.592621
16400,No_of_floors,3,160325475.087124
16400,Escalation,10,80162737.543562
16400,Changes_range,8,72146463.275023
16400,Earthwork,1,98980187.4941471
16400,Duration_of_the_project,3900,801627383.148358
16900,No_of_parking_spaces,1,115663379.568547
16900,No_of_floors,2,161928729.837995
16900,Escalation,10,80964364.9189976
16900,Changes_range,8,72867927.9077732
16900,Earthwork,1,99969989.3690886
16900,Duration_of_the_project,4100,809643656.979842
17200,No_of_parking_spaces,1,116820013.364232
17200,No_of_floors,3,163548017.136375
17200,Escalation,10,81774008.5681876
17200,Changes_range,8,73596607.1868509
17200,Earthwork,1,100969689.262779
17200,Duration_of_the_project,4100,817740093.54964
17500,No_of_parking_spaces,2,117988213.497874
17500,No_of_floors,4,165183497.307739
17500,Escalation,10,82591748.6538695
17500,Changes_range,8,74332573.2587194
17500,Earthwork,1,101979386.155407
17500,Duration_of_the_project,4200,825917494.485136
17800,No_of_parking_spaces,2,119168095.632853
17800,No_of_floors,3,166835332.280816
17800,Escalation,10,83417666.1404082
17800,Changes_range,8,75075898.9913066
17800,Earthwork,1,102999180.016961
17800,Duration_of_the_project,4366,834176669.429987
18000,No_of_parking_spaces,2,120359776.589182
18000,No_of_floors,3,168503685.603624
18000,Escalation,10,84251842.8018123
18000,Changes_range,8,75826657.9812197
18000,Earthwork,1,104029171.817131
18000,Duration_of_the_project,4450,842518436.124287
18400,No_of_parking_spaces,2,121563374.355074
18400,No_of_floors,3,170188722.45966
18400,Escalation,10,85094361.2298304
18400,Changes_range,8,76584924.5610319
18400,Earthwork,1,105069463.535302
18400,Duration_of_the_project,4500,850943620.48553
18800,No_of_parking_spaces,1,122779008.098625
18800,No_of_floors,2,171890609.684257
18800,Escalation,10,85945304.8421287
18800,Changes_range,8,77350773.8066422
18800,Earthwork,1,106120158.170655
18800,Duration_of_the_project,4600,859453056.690385
19200,No_of_parking_spaces,1,125234588.260598
19200,No_of_floors,5,175328421.877942
19200,Escalation,10,87664210.9389713
19200,Changes_range,8,78897789.282775
19200,Earthwork,1,108242561.334068
19200,Duration_of_the_project,4800,876642117.824193
20000,No_of_parking_spaces,1,127739280.02581
20000,No_of_floors,6,178834990.315501
20000,Escalation,10,89417495.1577507
20000,Changes_range,8,80475745.0684305
20000,Earthwork,1,110407412.560749
20000,Duration_of_the_project,5000,894174960.180677
22000,No_of_parking_spaces,2,132848851.226842
22000,No_of_floors,5,185988389.928121
22000,Escalation,10,92994194.9640607
22000,Changes_range,8,83694774.8711677
22000,Earthwork,1,114823709.063179
22000,Duration_of_the_project,5500,929941958.587904
