AREA,Ceiling.RANGE,External_Wall.RANGE,Internal_Wall.RANGE,Floor.RANGE,Foundation_system.RANGE,Form_system.RANGE,Superstructure.RANGE,Substructure.RANGE,Changes.RANGE,Duration.RANGE,Earthwork.RANGE,Floors.RANGE,Parking.RANGE,Escalations.RANGE,Total_Cost
0.9,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,12,515,1,1,4,15,51.75387587077157
1.75,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8,640,1,2,3,15,191.11700729937795
0.8,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,8,500,1,1,3,12,44.82277698464526
0.6,1.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,12,475,1,1,2,15,33.93577095349902
0.55,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,8,425,1,1,2,10,30.96757478288058
2.2,1.0,3.0,1.0,3.0,2.0,2.0,1.0,1.0,8,675,1,2,2,12,279.6445972980407
0.15,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,12,305,1,3,2,10,8.205752019150944
0.87,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,12,510,1,1,2,10,48.61076190114719
1.2,1.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,8,545,1,1,4,12,68.43659539160028
1.72,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,15,635,1,2,3,15,189.8083314354573
1.72,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,15,635,1,2,2,10,187.83993075096194
1.8,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,15,650,1,2,2,10,208.48900077217672
1.78,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,12,645,1,1,4,12,157.80875528245454
0.48,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,15,405,1,3,3,15,21.645707317655237
0.96,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,8,520,1,1,2,10,53.05791519455733
0.24,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12,340,1,1,4,10,13.24864545161607
1.75,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,8,640,1,2,2,15,191.42571580379692
0.15,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,8,305,1,3,4,10,8.249616952358494
1.13,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,15,535,1,1,4,12,63.80119912914955
0.15,1.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,15,305,1,1,4,12,5.764620631603774
0.22,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,12,335,1,1,3,15,12.591473427304248
1.4,1.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,12,580,1,2,2,10,118.86389626841948
0.48,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,15,405,1,5,2,10,23.370497564610197
0.48,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,15,405,1,3,2,12,21.26925858345334
1.8,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,15,650,1,2,4,12,212.9425365330614
1.4,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,8,580,1,1,4,10,89.32631816825067
0.85,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,12,505,1,1,4,10,47.251906524567204
0.5,1.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,12,415,1,1,2,12,28.49832526505978
0.35,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,12,375,1,1,2,10,18.69152108654654
0.28,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,12,345,1,1,4,15,15.495098012152546
0.55,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,8,425,1,1,3,15,31.46442086167771
0.24,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,8,340,1,1,2,15,13.185234356744647
0.21,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,12,330,1,1,3,12,10.33661278137264
1.78,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,15,645,1,1,2,10,154.9229131392817
1.84,1.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,12,655,1,3,4,12,269.0952606028023
1.5,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,12,600,1,1,4,10,106.5276944947655
1.3,2.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,8,560,1,1,2,12,77.10191001245173
2.0,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,8,670,1,2,2,15,252.34867189709513
0.75,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,12,495,1,1,3,10,42.336038001594275
0.85,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,12,505,1,5,3,15,42.24129721495798
1.88,2.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,8,660,1,3,2,15,275.2548799393702
0.15,2.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,8,305,1,1,4,12,5.538851785660378
1.58,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,15,615,1,1,3,12,123.4412389052535
1.6,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,8,620,1,2,2,15,162.45967254210896
0.28,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,8,345,1,1,4,15,14.943312864444998
1.69,1.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,15,630,1,2,4,10,179.2171803636994
1.78,1.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,12,645,1,1,2,12,155.4132326979138
1.84,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,15,655,1,3,4,10,269.6650886387457
2.2,1.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,12,675,1,1,2,10,214.5145576963176
0.98,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,12,525,1,1,3,12,55.921856460933995
0.85,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,12,505,1,5,2,15,43.160091258265986
1.58,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,8,615,1,1,2,10,117.83562674505448
0.18,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,12,315,1,1,2,15,8.470917960726416
1.69,2.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,8,630,1,2,3,15,177.10186726701482
1.43,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8,585,1,2,2,12,122.71707727522197
1.53,1.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,8,605,1,2,2,10,140.81847434673372
1.55,2.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,12,610,1,1,3,10,115.11944867860845
0.3,2.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,8,350,1,1,4,12,15.806200343452124
1.43,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,12,585,1,2,2,15,123.85599460517481
1.27,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,15,555,1,1,2,12,76.98747686579435
1.23,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,15,550,1,1,4,10,72.73783173672071
1.13,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,15,535,1,1,4,10,64.1056782753288
0.24,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,8,340,1,1,3,15,13.514381286012666
0.17,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,8,310,1,1,4,12,7.604632272108492
2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,15,670,1,3,3,10,309.84614435933105
2.0,1.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,8,670,1,3,4,15,310.28554690515546
1.47,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,12,595,1,2,4,10,133.72779444349382
1.78,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,15,645,1,2,2,10,201.67200187267613
1.47,1.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,12,595,1,2,3,10,132.27320070370158
1.35,1.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,8,570,1,1,2,12,83.0788955518031
0.22,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,8,335,1,1,3,12,12.219427850162738
1.88,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,12,660,1,1,2,10,174.70581035845365
0.48,2.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,15,405,1,5,2,15,24.19103382038378
0.21,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,15,330,1,1,2,12,10.273495859268868
0.98,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,12,525,1,5,3,12,40.30876422877562
1.75,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,12,640,1,3,2,15,236.89758797196816
1.47,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,8,595,1,1,3,10,100.16307599211102
2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,15,670,1,3,2,10,308.3883734879022
0.48,1.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,12,405,1,3,4,15,21.965038365191667
1.72,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,8,635,1,3,4,12,226.86577268081527
0.98,1.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,12,525,1,5,3,12,40.58443157997845
0.15,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,15,305,1,4,4,12,9.756796908490568
0.6,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,12,475,1,1,4,10,34.009820067646274
0.48,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,15,405,1,5,4,10,23.747629732905132
1.88,2.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,15,660,1,1,3,10,178.70238631879744
0.98,2.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,12,525,1,4,2,10,40.010306091321596
0.48,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,15,405,1,4,3,15,23.355276247434396
1.8,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,12,650,1,2,4,15,213.023170901835
2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,15,670,1,2,2,10,253.30952773860452
2.0,1.0,2.0,3.0,2.0,1.0,2.0,1.0,1.0,12,670,1,1,2,12,196.51575049091022
0.15,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,12,305,1,4,3,10,9.705742861320756
1.69,1.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,8,630,1,3,2,10,213.7119689203879
1.88,2.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,8,660,1,2,3,10,222.63705099550543
1.88,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,8,660,1,2,2,15,224.74875224157677
1.3,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,12,560,1,1,3,12,78.5065023804963
1.47,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,8,595,1,1,4,15,103.2469100602523
1.84,2.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,15,655,1,3,4,10,269.0773146453495
1.64,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,12,625,1,1,2,12,132.65020756743192
1.33,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12,565,1,1,4,15,82.72806047609161
1.6,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,8,620,1,2,3,15,163.11977368484233
1.43,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,15,585,1,2,3,10,124.45457547549802
1.43,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,8,585,1,1,2,12,92.64946908620789
1.47,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,15,595,1,2,2,12,134.69423686896673
0.48,1.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,12,405,1,3,3,10,21.171543436542034
1.37,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,8,575,1,2,4,10,114.21511453998487
1.27,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,8,555,1,1,4,10,75.53600931411204
2.2,2.0,3.0,3.0,1.0,1.0,2.0,1.0,1.0,12,675,1,1,3,12,216.8209799445541
1.72,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,12,635,1,2,4,10,187.20106338092424
1.53,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,15,605,1,1,3,10,110.97613273080594
0.85,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,8,505,1,3,2,15,38.259632418147724
1.84,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,12,655,1,3,2,12,267.36487443200116
0.18,2.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,15,315,1,1,4,15,8.643829589518868
1.17,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,15,540,1,1,2,10,65.87606951002635
2.2,1.0,3.0,1.0,1.0,1.0,2.0,1.0,1.0,15,675,1,2,3,12,287.11189139641874
1.4,1.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,15,580,1,2,4,12,116.34507582122542
0.36,2.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,12,380,1,1,2,10,19.56606776963614
0.15,2.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,8,305,1,3,4,10,8.287339970566041
1.58,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,12,615,1,1,4,12,121.02174886033777
1.92,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,12,665,1,1,4,15,191.2718524110995
0.48,1.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,8,405,1,1,4,15,25.95731103891641
1.5,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,8,600,1,2,3,12,135.7865534431736
1.8,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,12,650,1,2,2,10,207.4966391956673
1.58,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,12,615,1,2,2,12,156.32042252592046
0.98,1.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,12,525,1,5,4,12,40.835580520978425
0.98,2.0,3.0,1.0,1.0,3.0,2.0,1.0,1.0,15,525,1,4,2,15,41.92184677127443
0.33,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,8,355,1,1,3,12,17.558170618151856
1.92,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,15,665,1,1,2,15,192.6426833799536
0.55,2.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,12,425,1,1,4,10,31.5185001224491
1.78,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0,12,645,1,2,2,10,199.65264965078936
1.84,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,8,655,1,2,3,10,215.19117298301916
2.2,2.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,8,675,1,2,4,12,281.5718082035224
2.2,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,8,675,1,2,3,12,280.82945015750363
1.64,1.0,3.0,2.0,3.0,3.0,1.0,1.0,1.0,8,625,1,2,4,10,167.21027322277376
0.85,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,12,505,1,1,4,15,47.69499124153419
1.3,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,8,560,1,1,3,12,78.20567163316139
0.7,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,12,485,1,1,3,12,39.62372533798574
0.24,1.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,8,340,1,1,4,12,13.430318875531166
1.84,2.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,8,655,1,2,2,15,219.17040742967524
0.18,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,8,315,1,1,2,12,8.185966632858491
1.58,2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,12,615,1,1,3,10,120.84474295473463
0.9,1.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,15,515,1,1,4,15,52.68523717996968
1.27,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,8,555,1,1,3,10,74.24084723758408
0.5,1.0,1.0,3.0,1.0,3.0,2.0,1.0,1.0,8,415,1,1,3,12,28.538969007385013
1.4,1.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,8,580,1,2,4,10,118.54733704645183
0.6,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,8,475,1,1,2,15,33.49344023156507
1.4,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,12,580,1,1,2,15,86.78265776494473
1.75,2.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,8,640,1,2,2,12,190.37661955280637
1.55,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0,8,610,1,2,2,15,149.83488738390716
0.715,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,15,490,1,1,3,15,41.668873834557616
1.33,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,12,565,1,1,2,10,81.03635909227802
1.37,1.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,8,575,1,1,3,12,87.07556341680412
1.92,1.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,15,665,1,1,3,15,193.30271904105044
0.85,1.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,12,505,1,3,2,12,38.2408647592798
1.88,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,8,660,1,3,2,15,274.07152646965324
2.2,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,12,675,1,1,4,10,214.89758357354455
1.43,2.0,1.0,3.0,3.0,3.0,1.0,1.0,1.0,12,585,1,1,2,10,94.32208381167958
1.33,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,15,565,1,1,3,15,83.05297982347831
1.69,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,8,630,1,2,4,12,175.4183779642183
0.17,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,8,310,1,1,2,10,7.629313196490566
0.24,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,15,340,1,1,4,15,13.806882478064184
0.48,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,8,405,1,3,4,15,20.988766683479405
0.15,1.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,8,305,1,3,3,12,8.227570620754719
1.37,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,8,575,1,2,2,12,113.41762414992544
0.42,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,8,390,1,1,3,12,21.82187764001323
1.5,1.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,8,600,1,1,4,10,104.226956627407
1.33,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,8,565,1,1,2,12,80.69969061222614
0.18,1.0,2.0,2.0,2.0,3.0,2.0,1.0,1.0,15,315,1,1,3,10,8.527730964316039
0.18,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,12,315,1,1,2,10,8.348678702698114
1.92,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,12,665,1,3,2,15,297.07039443132805
1.5,2.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,8,600,1,2,2,12,136.76390865991124
0.21,2.0,3.0,3.0,2.0,3.0,2.0,1.0,1.0,8,330,1,1,3,15,10.43537164226415
0.6,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,8,475,1,1,4,12,33.21151507816515
1.55,2.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,15,610,1,2,3,15,153.93366368771413
1.55,2.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,15,610,1,1,4,15,120.01323228794197
1.75,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,15,640,1,1,3,10,149.85028994969667
0.8,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,8,500,1,1,3,12,44.80296390393771
1.4,2.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,12,580,1,2,2,15,116.22030091601383
1.43,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,8,585,1,2,2,10,120.88320963811348
1.4,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,15,580,1,2,2,15,111.14097009007988
0.48,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,12,405,1,3,4,15,21.59999705173412
0.48,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,15,405,1,3,2,12,21.514108047009945
0.17,1.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,12,310,1,1,2,10,7.544886083716982
0.2,2.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,12,320,1,1,2,10,9.46198245810849
0.17,1.0,2.0,3.0,3.0,3.0,2.0,1.0,1.0,15,310,1,1,4,10,7.896582573457548
1.75,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,12,640,1,3,2,12,234.52972357451532
0.98,2.0,3.0,2.0,1.0,3.0,2.0,1.0,1.0,8,525,1,5,2,15,40.29950100598809
1.88,2.0,3.0,2.0,3.0,3.0,2.0,1.0,1.0,12,660,1,2,4,15,230.55554027512318
0.5,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,12,415,1,1,2,15,28.96088240138053
1.6,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,12,620,1,2,2,12,162.89979803776933
1.53,2.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,12,605,1,1,3,15,113.75027101033423
1.3,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,8,560,1,1,4,15,79.53546736072948
1.64,1.0,3.0,1.0,3.0,3.0,2.0,1.0,1.0,12,625,1,1,3,15,135.05171174451948
1.78,2.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,12,645,1,2,2,12,200.05902117423278
0.87,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,510,1,1,3,15,48.939470525060194
0.42,2.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,8,390,1,1,2,12,21.77058975154549
0.51,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,420,1,1,4,10,29.75918330593313
2.0,2.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,15,670,1,3,2,12,311.10252912497765
0.98,2.0,3.0,3.0,3.0,1.0,2.0,1.0,1.0,15,525,1,1,3,15,57.39065639041513
1.69,1.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,8,630,1,1,2,15,138.15810092894233
1.92,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,12,665,1,2,4,15,245.30838592794242
0.49,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,8,410,1,1,2,12,26.742393663599533
0.85,2.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,12,505,1,3,4,12,38.425904869675044
0.3,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,15,350,1,1,4,12,16.256518559348347
1.55,1.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,12,610,1,1,3,10,115.81629909530656
1.78,2.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,15,645,1,2,3,12,202.80769849657287
1.92,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,12,665,1,2,3,10,239.86752995803488
0.55,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,15,425,1,1,4,10,31.606508533675516
1.78,1.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,12,645,1,2,2,12,200.94017697361954
0.17,2.0,3.0,3.0,2.0,2.0,1.0,1.0,1.0,12,310,1,1,3,15,7.761877485603774
0.18,2.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,15,315,1,2,2,10,11.58245730178302
0.42,1.0,2.0,3.0,3.0,2.0,1.0,1.0,1.0,12,390,1,1,2,12,22.123982674941715
1.27,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,15,555,1,1,2,10,75.98774493027075
1.55,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,15,610,1,1,2,15,118.66389219678263
2.2,2.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,12,675,1,2,4,15,288.7418475414941
1.6,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,12,620,1,2,3,15,164.7373009631914
1.5,1.0,2.0,3.0,1.0,3.0,2.0,1.0,1.0,15,600,1,1,4,10,108.3410503042938
1.88,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,8,660,1,2,4,10,223.21762022328355
0.48,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,8,405,1,3,2,12,20.799771380245794
1.69,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12,630,1,2,2,10,176.38521477339168
1.35,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,8,570,1,1,4,15,84.34540392158448
0.49,2.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,8,410,1,1,2,10,26.628202713108962
1.84,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,8,655,1,3,4,10,263.8856023348306
1.69,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,8,630,1,1,3,12,135.068742574641
1.53,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,8,605,1,2,2,15,144.29475157192243
0.48,1.0,3.0,2.0,3.0,1.0,2.0,1.0,1.0,12,405,1,1,4,10,25.972131144732444
